class_id,class_curation_id,definition,abritamr_class,abritamr_subclass
1,cc.1.0001,(row.class == 'BETA-LACTAM') &&  ('AMR-SUSCEPTIBLE' == row.subtype),Beta-lactam,Beta-lactam (Susceptible)
1,cc.1.0002,(row.class == 'BETA-LACTAM') &&  ( 'carbapenem-hydrolyzing' in row.product_name) && !('OXA-51' in row.product_name) ,Beta-lactam,Carbapenemase
1,cc.1.0003,(row.class == 'BETA-LACTAM') &&  ('metallo-beta-lactamase' in row.product_name) && (row.subclass == 'CARBAPENEM'),Beta-lactam,Carbapenemase (MBL)
1,cc.1.0004,(row.class == 'BETA-LACTAM') &&  (('OXA-51 family' in row.product_name) || (row.allele == 'OXA-51')),Beta-lactam,Carbapenemase (OXA-51 family)
1,cc.1.0005,(row.class == 'BETA-LACTAM') &&  (row.gene_family == 'blaZ'),Beta-lactam,Penicillin resistance (Staphylococcus aureus)
1,cc.1.0006,(row.class == 'BETA-LACTAM') &&  ('class C' in row.product_name),Beta-lactam,AmpC
1,cc.1.0007,(row.class == 'BETA-LACTAM') &&  (row.gene_family == 'blaKPC') && !( 'CARBAPENEM' in row.subclass),Beta-lactam,ESBL (KPC variant)
1,cc.1.0008,(row.class == 'BETA-LACTAM') && !('class C' in row.product_name) && (row.gene_family != 'blaKPC') && (('extended-spectrum' in row.product_name) || ('extended spectrum' in row.product_name)),Beta-lactam,ESBL
2,cc.2.0001,(row.gene_family == 'cfr') && (row.class == ''),Multidrug,
3,cc.3.0001,(row.class == 'AMINOGLYCOSIDE') &&  ('rRNA' in row.product_name) && ('methyltransferase' in row.product_name),Aminoglycoside,Aminoglycosides (Ribosomal methyltransferase)
4,cc.4.0001,(row.class == 'AMINOCOUMARIN'),Other antimicrobial,
4,cc.4.0002,(row.class == 'AVILAMYCIN'),Other antimicrobial,
4,cc.4.0003,(row.class == 'BACITRACIN'),Other antimicrobial,
4,cc.4.0004,(row.class == 'BLEOMYCIN'),Other antimicrobial,
4,cc.4.0005,(row.class == 'EDEINE'),Other antimicrobial,
4,cc.4.0006,(row.class == 'FOSMIDOMYCIN'),Other antimicrobial,
4,cc.4.0007,(row.class == 'ISONIAZID/TRICLOSAN'),Other antimicrobial,
4,cc.4.0008,(row.class == 'PLEUROMUTILIN'),Other antimicrobial,
4,cc.4.0009,(row.class == 'POLYKETIDE'),Other antimicrobial,
4,cc.4.0010,(row.class == 'SPIROPYRIMIDINETRIONE'),Other antimicrobial,
4,cc.4.0011,(row.class == 'STREPTOGRAMIN'),Other antimicrobial,
4,cc.4.0012,(row.class == 'THIOSTREPTON'),Other antimicrobial,
4,cc.4.0013,(row.class =='TETRACENOMYCIN'),Other antimicrobial,
4,cc.4.0014,(row.class == 'IONOPHORE'),Other antimicrobial,
5,cc.5.0001,(row.type == 'VIRULENCE') && (row.class == 'INTIMIN'),Virulence,Intimin_append
5,cc.5.0002,(row.type == 'VIRULENCE') && (row.class == 'STX'),Virulence,
5,cc.5.0003,(row.type == 'VIRULENCE') && (row.class == ''),Virulence,Other
6,cc.6.0001,(row.class == 'ARSENIC'),Other non-antimicrobial,
6,cc.6.0002,('CADMIUM' in row.class),Other non-antimicrobial,
6,cc.6.0003,(row.class == 'CHROMATE'),Other non-antimicrobial,
6,cc.6.0004,('COPPER' in row.class),Other non-antimicrobial,
6,cc.6.0005,(row.class == 'FLOURIDE'),Other non-antimicrobial,
6,cc.6.0006,('GOLD' in row.class),Other non-antimicrobial,
6,cc.6.0007,('MERCURY' in row.class),Other non-antimicrobial,
6,cc.6.0008,('NICKEL' in row.class),Other non-antimicrobial,
6,cc.6.0009,('QUATERNARY AMMONIUM' in row.class),Other non-antimicrobial,
6,cc.6.0010,('SILVER' in row.class),Other non-antimicrobial,
6,cc.6.0011,('TELLURIUM' in row.class),Other non-antimicrobial,
6,cc.6.0012,('TRICLOSAN' == row.class),Other non-antimicrobial,
7,cc.7.0001,(row.class == 'MULTIDRUG'),Multidrug,
7,cc.7.0002,('multidrug' in row.product_name) && ((row.class == '') && (row.subclass == '')),Multidrug,Other
8,cc.8.0001,"(row.type != 'VIRULENCE') && (row.class == '') && (row.subclass == '')",Other,Other
