rule_id,rule_version,rule,species,drugname,inferred,source
abritAMRsalmo000001,0.0.1,('Colistin' in row.abritamr_subclass),Salmonella enterica,Colistin,Resistant,abritamr (PMID:36599823)
abritAMRsalmo000002,0.0.1,('Aminoglycosides (Ribosomal methyltransferase)' in row.abritamr_subclass),Salmonella enterica,Aminoglycosides (RMT),Resistant,abritamr (PMID:36599823)
abritAMRsalmo000003,0.0.1,"(contains_any(row.abritamr_subclass,'phenicol'))",Salmonella enterica,Chloramphenicol,Resistant,abritamr
abritAMRsalmo000004,0.0.1,('Trimethoprim' in row.abritamr_subclass && 'Sulfathiazole' in row.abritamr_subclass),Salmonella enterica,Trimeth-Sulpha,Resistant,abritamr (PMID:36599823)
abritAMRsalmo000005,0.0.1,('Trimethoprim' in row.abritamr_subclass ),Salmonella enterica,Trimethoprim,Resistant,abritamr (PMID:36599823)
abritAMRsalmo000006,0.0.1,('Sulfathiazole' in row.abritamr_subclass),Salmonella enterica,Sulfathiazole,Resistant,abritamr (PMID:36599823)
abritAMRsalmo000007,0.0.1,"(contains_any(row.abritamr_subclass,'quinolone'))",Salmonella enterica,Ciproflxacin,Resistant,abritamr (PMID:36599823)
abritAMRsalmo000008,0.0.1,('Tetracycline' in row.abritamr_subclass),Salmonella enterica,Tetracycline,Resistant,abritamr (PMID:36599823)
abritAMRsalmo000009,0.0.1,('Streptomycin' in row.abritamr_subclass),Salmonella enterica,Streptomycin,Resistant,abritamr (PMID:36599823)
abritAMRsalmo000010,0.0.1,('Kanamycin' in row.abritamr_subclass || 'Aminoglycosides (Ribosomal methyltransferase)' in row.abritamr_subclass),Salmonella enterica,Kanamycin,Resistant,abritamr (PMID:36599823)
abritAMRsalmo000011,0.0.1,('Gentamicin' in row.abritamr_subclass || 'Aminoglycosides (Ribosomal methyltransferase)' in row.abritamr_subclass),Salmonella enterica,Gentamicin,Resistant,abritamr (PMID:36599823)
abritAMRsalmo000012,0.0.1,('Macrolide' in row.abritamr_subclass || 'Lincosamide/Macrolide/Streptogramin' in row.abritamr_subclass || 'Azithromycin' in row.abritamr_subclass),Salmonella enterica,Azithromycin,Resistant,abritamr (PMID:36599823)
abritAMRsalmo000013,0.0.1,('Carbapenemase' in row.abritamr_subclass),Salmonella enterica,Meropenem,Resistant,abritamr (PMID:36599823)
abritAMRsalmo000014,0.0.1,('AmpC' in row.abritamr_subclass),Salmonella enterica,Cefotaxime (AmpC),Resistant,abritamr (PMID:36599823)
abritAMRsalmo000015,0.0.1,('ESBL' in row.abritamr_subclass),Salmonella enterica,Cefotaxime (ESBL),Resistant,abritamr (PMID:36599823)
abritAMRsalmo000016,0.0.1,('Beta-lactam' in row.abritamr_subclass || 'ESBL' in row.abritamr_subclass || 'AmpC' in row.abritamr_subclass || 'Ampicillin' in row.abritamr_subclass),Salmonella enterica,Ampicillin,Resistant,abritamr (PMID:36599823)
