criteria_id,criteria_version,criteria,status,amrtype
cid00001,0.0.1,abritamr_subclass == 'Carbapenemase',reportable,Possible CPO
cid00002,0.0.1,abritamr_subclass == 'ESBL (KPC variant)',reportable,
cid00003,0.0.1,abritamr_subclass == 'Aminoglycosides (Ribosomal methyltransferase)',reportable,
cid00004,0.0.1,(abritamr_subclass == 'Colistin') && (gene != 'mcr9'),reportable,
cid00005,0.0.1,(abritamr_subclass == 'Carbapenemase (OXA-51 family)') &&  !('Acinetobacter' in species),reportable,Possible CPO
cid00006,0.0.1,(abritamr_subclass == 'Carbapenemase (MBL)') && !(species == 'Stenotrophomonas maltophilia' && gene == 'blaI' ),reportable,Possible CPO
cid00007,0.0.1,"(abritamr_subclass == ""ESBL"") && ('Salmonella' in species || 'Shigella' in species)",reportable,
cid00008,0.0.1,"(abritamr_subclass == ""AmpC"") && ('Salmonella' in species || 'Shigella' in species) && !(species == 'Shigella' && gene == 'blaEC')",reportable,
cid00009,0.0.1,"(abritamr_subclass == 'Vancomycin') && (gene in ['vanA','vanB','vanC','vanD','vanE','vanE','vanG','vanL','vanM','vanN'])",reportable,Possible VRE
cid00010,0.0.1,"(abritamr_subclass == 'Methicillin')  && (gene in ['mecI','mecR']) && !(species == 'Staphylococcus aureus')",reportable,
cid00011,0.0.1,"('Oxazolidinone' in abritamr_subclass) && (species in ['Staphylococcus aureus','Staphylococcus argenteus'] || 'Enterococcus' in species)",reportable,
cid00012,0.0.1,"('Linezolid' in abritamr_subclass) && (species in ['Staphylococcus aureus','Staphylococcus argenteus'] || 'Enterococcus' in species)",reportable,
cid00013,0.0.1,"(abritamr_subclass == 'Methicillin')  && (gene in ['mecI','mecR']) && (species == 'Staphylococcus aureus')",reportable,Possible MRSA
