drugname,species,rule_id,rule_version,rule,original_rule,inferred,source
Ceftriaxone,Enterococcus faecalis,AMRrules-EFC0001,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'WP_070676928.1'))",pbp4,Resistant (wildtype),"AMRrules (PMID: 32041714, 14973044)"
Cefuroxime,Enterococcus faecalis,AMRrules-EFC0002,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'WP_070676928.1'))",pbp4,Resistant (wildtype),"AMRrules (PMID: 32041714, 14973044)"
Cefepime,Enterococcus faecalis,AMRrules-EFC0003,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'WP_070676928.1'))",pbp4,Resistant (wildtype),"AMRrules (PMID: 32041714, 14973044)"
Ceftaroline,Enterococcus faecalis,AMRrules-EFC0004,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'WP_070676928.1'))",pbp4,Resistant (wildtype),"AMRrules (PMID: 32041714, 14973044)"
Ceftriaxone,Enterococcus faecalis,AMRrules-EFC0005,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AEA94845.1'))",pbpA,Resistant (wildtype),AMRrules (PMID: 32041714)
Cefuroxime,Enterococcus faecalis,AMRrules-EFC0006,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AEA94845.1'))",pbpA,Resistant (wildtype),AMRrules (PMID: 32041714)
Cefepime,Enterococcus faecalis,AMRrules-EFC0007,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AEA94845.1'))",pbpA,Resistant (wildtype),AMRrules (PMID: 32041714)
Ceftaroline,Enterococcus faecalis,AMRrules-EFC0008,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AEA94845.1'))",pbpA,Resistant (wildtype),AMRrules (PMID: 32041714)
Ceftriaxone,Enterococcus faecalis,AMRrules-EFC0009,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAO80501.1'))",pbpF,Resistant (wildtype),AMRrules (PMID: 19304851)
Ceftriaxone,Enterococcus faecalis,AMRrules-EFC0010,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAO80948.1'))",ponA,Resistant (wildtype),AMRrules (PMID: 19304851)
Ceftaroline,Enterococcus faecalis,AMRrules-EFC0011,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'WP_070676928.1'))",pbp4,Resistant (wildtype),"AMRrules (PMID: 32041714, 14973044)"
Ceftriaxone,Enterococcus faecalis,AMRrules-EFC0012,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AEA94845.1'))",pbpA,Resistant (wildtype),AMRrules (PMID: 32041714)
Ceftriaxone,Enterococcus faecalis,AMRrules-EFC0013,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAO80501.1'))",pbpF,Resistant (wildtype),AMRrules (PMID: 19304851)
Ceftriaxone,Enterococcus faecalis,AMRrules-EFC0014,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAO80948.1'))",ponA,Resistant (wildtype),AMRrules (PMID: 19304851)
Ceftriaxone,Enterococcus faecalis,AMRrules-EFC0015,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAO82800.1'))",IreK,Resistant (wildtype),AMRrules (PMID: 34672600)
Clindamycin,Enterococcus faecalis,AMRrules-EFC0016,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'WP_002365053.1'))",lsa(A),Resistant (wildtype),AMRrules (PMID: 12019099)
Dalfopristin,Enterococcus faecalis,AMRrules-EFC0017,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'WP_002365053.1'))",lsa(A),Resistant (wildtype),AMRrules (PMID: 12019099)
Quinupristin-dalfopristin,Enterococcus faecalis,AMRrules-EFC0018,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'WP_002365053.1'))",lsa(A),Resistant (wildtype),AMRrules (PMID: 12019099)
Ciprofloxacin,Enterococcus faecalis,AMRrules-EFC0019,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'HG970098.1'))",efrA,Susceptible (wildtype),"AMRrules (PMID: 14638474, 25084670, 27381387)"
