drugname,species,rule_id,rule_version,rule,original_rule,inferred,source
Ampicillin,Escherichia coli,AMRrules-ECO0019,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'BAC99094.1'))",blaEC-2,Resistant (nonwildtype),AMRrules (PMID: 15215122)
Amoxicillin,Escherichia coli,AMRrules-ECO0020,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'BAC99094.1'))",blaEC-2,Resistant (nonwildtype),AMRrules (PMID: 15215122)
Cefotaxime,Escherichia coli,AMRrules-ECO0021,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'BAC99094.1'))",blaEC-2,Resistant (nonwildtype),AMRrules (PMID: 15215122)
Ceftazidime,Escherichia coli,AMRrules-ECO0022,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'BAC99094.1'))",blaEC-2,Resistant (nonwildtype),AMRrules (PMID: 15215122)
Cefoxitin,Escherichia coli,AMRrules-ECO0023,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'BAC99094.1'))",blaEC-2,Resistant (nonwildtype),AMRrules (PMID: 15215122)
Aztreonam,Escherichia coli,AMRrules-ECO0024,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'BAC99094.1'))",blaEC-2,Resistant (nonwildtype),AMRrules (PMID: 15215122)
Amoxicillin,Escherichia coli,AMRrules-ECO0025,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'WP_181203065.1'))",blaEC-3,Resistant (nonwildtype),AMRrules (PMID: 12393205)
Piperacillin,Escherichia coli,AMRrules-ECO0026,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'WP_181203065.1'))",blaEC-3,Resistant (nonwildtype),AMRrules (PMID: 12393205)
Cefuroxime,Escherichia coli,AMRrules-ECO0027,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'WP_181203065.1'))",blaEC-3,Resistant (nonwildtype),AMRrules (PMID: 12393205)
Cefoxitin,Escherichia coli,AMRrules-ECO0028,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'WP_181203065.1'))",blaEC-3,Resistant (nonwildtype),AMRrules (PMID: 12393205)
