drugname,species,rule_id,rule_version,rule,original_rule,inferred,source
Amikacin,Pseudomonas aeruginosa,AMRrules-PSA0001,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'BAA34299.1, AAF14522.1'))",mexX,Susceptible (wildtype),AMRrules (PMID: 11083635)
Amikacin,Pseudomonas aeruginosa,AMRrules-PSA0002,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'BAA34300.1'))",mexY,Susceptible (wildtype),AMRrules (PMID: 11083635)
Amoxicillin,Pseudomonas aeruginosa,AMRrules-PSA0004,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAA74436.1'))",mexA,Resistant (wildtype),"AMRrules (PMID: 8540696, 11083635, 12483565, 9925544)"
Amoxicillin,Pseudomonas aeruginosa,AMRrules-PSA0005,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAA74437.1'))",mexB,Resistant (wildtype),"AMRrules (PMID: 8540696, 11083635, 12483565, 9925544)"
Amoxicillin,Pseudomonas aeruginosa,AMRrules-PSA0006,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAG03816.1'))",oprM,Resistant (wildtype),"AMRrules (PMID: 8540696, 11083635, 12483565, 9925544)"
Amoxicillin-clavulanic acid,Pseudomonas aeruginosa,AMRrules-PSA0008,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAA74436.1'))",mexA,Resistant (wildtype),"AMRrules (PMID: 8540696, 11083635, 12483565, 9925544)"
Amoxicillin-clavulanic acid,Pseudomonas aeruginosa,AMRrules-PSA0009,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAA74437.1'))",mexB,Resistant (wildtype),"AMRrules (PMID: 8540696, 11083635, 12483565, 9925544)"
Amoxicillin-clavulanic acid,Pseudomonas aeruginosa,AMRrules-PSA0010,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAG03816.1'))",oprM,Resistant (wildtype),"AMRrules (PMID: 8540696, 11083635, 12483565, 9925544)"
Ampicillin,Pseudomonas aeruginosa,AMRrules-PSA0012,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAA74436.1'))",mexA,Resistant (wildtype),"AMRrules (PMID: 8540696, 11083635, 12483565, 9925544)"
Ampicillin,Pseudomonas aeruginosa,AMRrules-PSA0013,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAA74437.1'))",mexB,Resistant (wildtype),"AMRrules (PMID: 8540696, 11083635, 12483565, 9925544)"
Ampicillin,Pseudomonas aeruginosa,AMRrules-PSA0014,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAG03816.1'))",oprM,Resistant (wildtype),"AMRrules (PMID: 8540696, 11083635, 12483565, 9925544)"
Ampicillin-sulbactam,Pseudomonas aeruginosa,AMRrules-PSA0016,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAA74436.1'))",mexA,Resistant (wildtype),"AMRrules (PMID: 8540696, 11083635, 12483565, 9925544)"
Ampicillin-sulbactam,Pseudomonas aeruginosa,AMRrules-PSA0017,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAA74437.1'))",mexB,Resistant (wildtype),"AMRrules (PMID: 8540696, 11083635, 12483565, 9925544)"
Ampicillin-sulbactam,Pseudomonas aeruginosa,AMRrules-PSA0018,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAG03816.1'))",oprM,Resistant (wildtype),"AMRrules (PMID: 8540696, 11083635, 12483565, 9925544)"
Aztreonam,Pseudomonas aeruginosa,AMRrules-PSA0020,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAA74436.1'))",mexA,Intermediate (wildtype),"AMRrules (PMID: 8540696, 11083635, 12483565, 9925544)"
Aztreonam,Pseudomonas aeruginosa,AMRrules-PSA0021,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAA74437.1'))",mexB,Intermediate (wildtype),"AMRrules (PMID: 8540696, 11083635, 12483565, 9925544)"
Aztreonam,Pseudomonas aeruginosa,AMRrules-PSA0022,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAG03816.1'))",oprM,Intermediate (wildtype),"AMRrules (PMID: 8540696, 11083635, 12483565, 9925544)"
Cefepime,Pseudomonas aeruginosa,AMRrules-PSA0024,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAA74436.1'))",mexA,Intermediate (wildtype),"AMRrules (PMID: 8540696, 11083635, 12483565, 9925544)"
Cefepime,Pseudomonas aeruginosa,AMRrules-PSA0025,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAA74437.1'))",mexB,Intermediate (wildtype),"AMRrules (PMID: 8540696, 11083635, 12483565, 9925544)"
Cefepime,Pseudomonas aeruginosa,AMRrules-PSA0026,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'BAA34299.1, AAF14522.1'))",mexX,Intermediate (wildtype),AMRrules (PMID: 11083635)
Cefepime,Pseudomonas aeruginosa,AMRrules-PSA0027,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'BAA34300.1'))",mexY,Intermediate (wildtype),AMRrules (PMID: 11083635)
Cefepime,Pseudomonas aeruginosa,AMRrules-PSA0028,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAG03816.1'))",oprM,Intermediate (wildtype),"AMRrules (PMID: 8540696, 11083635, 12483565, 9925544)"
Cefotaxime,Pseudomonas aeruginosa,AMRrules-PSA0030,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAA74436.1'))",mexA,Resistant (wildtype),"AMRrules (PMID: 8540696, 11083635, 12483565, 9925544)"
Cefotaxime,Pseudomonas aeruginosa,AMRrules-PSA0031,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAA74437.1'))",mexB,Resistant (wildtype),"AMRrules (PMID: 8540696, 11083635, 12483565, 9925544)"
Cefotaxime,Pseudomonas aeruginosa,AMRrules-PSA0032,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAG03816.1'))",oprM,Resistant (wildtype),"AMRrules (PMID: 8540696, 11083635, 12483565, 9925544)"
Ceftazidime,Pseudomonas aeruginosa,AMRrules-PSA0034,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAA74436.1'))",mexA,Intermediate (wildtype),"AMRrules (PMID: 8540696, 11083635, 12483565, 9925544)"
Ceftazidime,Pseudomonas aeruginosa,AMRrules-PSA0035,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAA74437.1'))",mexB,Intermediate (wildtype),"AMRrules (PMID: 8540696, 11083635, 12483565, 9925544)"
Ceftazidime,Pseudomonas aeruginosa,AMRrules-PSA0036,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAG03816.1'))",oprM,Intermediate (wildtype),"AMRrules (PMID: 8540696, 11083635, 12483565, 9925544)"
Chloramphenicol,Pseudomonas aeruginosa,AMRrules-PSA0040,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAD02068.1'))",catB7,Resistant (wildtype),AMRrules (PMID: 10361706)
Chloramphenicol,Pseudomonas aeruginosa,AMRrules-PSA0041,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAA74436.1'))",mexA,Resistant (wildtype),"AMRrules (PMID: 8226684, 8540696, 11083635, 12483565)"
Chloramphenicol,Pseudomonas aeruginosa,AMRrules-PSA0042,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAA74437.1'))",mexB,Resistant (wildtype),"AMRrules (PMID: 8226684, 8540696, 11083635, 12483565)"
Chloramphenicol,Pseudomonas aeruginosa,AMRrules-PSA0043,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'BAA34299.1, AAF14522.1'))",mexX,Resistant (wildtype),"AMRrules (PMID: 11083635, 12483565)"
Chloramphenicol,Pseudomonas aeruginosa,AMRrules-PSA0044,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'BAA34300.1'))",mexY,Resistant (wildtype),"AMRrules (PMID: 11083635, 12483565)"
Chloramphenicol,Pseudomonas aeruginosa,AMRrules-PSA0045,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAG03816.1'))",oprM,Resistant (wildtype),"AMRrules (PMID: 8226684, 8540696, 11083635, 12483565)"
Chloramphenicol,Pseudomonas aeruginosa,AMRrules-PSA0046,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAG05881.1, CAK15125.1'))",mexE,Resistant (wildtype),AMRrules (PMID: 9044268)
Chloramphenicol,Pseudomonas aeruginosa,AMRrules-PSA0047,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAG05882.1'))",mexF,Resistant (wildtype),AMRrules (PMID: 9044268)
Chloramphenicol,Pseudomonas aeruginosa,AMRrules-PSA0048,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAG05883.1'))",oprN,Resistant (wildtype),AMRrules (PMID: 9044268)
Ciprofloxacin,Pseudomonas aeruginosa,AMRrules-PSA0049,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAA74436.1'))",mexA,Intermediate (wildtype),"AMRrules (PMID: 8226684, 8540696, 11083635, 12483565)"
Ciprofloxacin,Pseudomonas aeruginosa,AMRrules-PSA0050,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAA74437.1'))",mexB,Intermediate (wildtype),"AMRrules (PMID: 8226684, 8540696, 11083635, 12483565)"
Ciprofloxacin,Pseudomonas aeruginosa,AMRrules-PSA0051,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAG03816.1'))",oprM,Intermediate (wildtype),"AMRrules (PMID: 8226684, 8540696, 11083635, 12483565)"
Ciprofloxacin,Pseudomonas aeruginosa,AMRrules-PSA0052,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AEQ93536.1'))",crpP,Intermediate (wildtype),AMRrules (PMID: 34001507)
Ciprofloxacin,Pseudomonas aeruginosa,AMRrules-PSA0053,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAG05881.1, CAK15125.1'))",mexE,Intermediate (wildtype),AMRrules (PMID: 9044268)
Ciprofloxacin,Pseudomonas aeruginosa,AMRrules-PSA0054,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAG05882.1'))",mexF,Intermediate (wildtype),AMRrules (PMID: 9044268)
Ciprofloxacin,Pseudomonas aeruginosa,AMRrules-PSA0055,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAG05883.1'))",oprN,Intermediate (wildtype),AMRrules (PMID: 9044268)
