drugname,species,rule_id,rule_version,rule,original_rule,inferred,source
Chloramphenicol,Salmonella enterica,AMRrules-SAL0001,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AE006468.2'))",mdsA,Susceptible (wildtype),AMRrules (PMID: 20497225)
Chloramphenicol,Salmonella enterica,AMRrules-SAL0002,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AE006468.2'))",mdsB,Susceptible (wildtype),AMRrules (PMID: 20497225)
Aminoglycoside antibiotic,Salmonella enterica,AMRrules-SAL0003,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'WP_000354865.1'))",aac(6')-Iaa,Resistant (wildtype),AMRrules (PMID: 12679553)
Colistin,Salmonella enterica,abritAMRsalmo000001,0.0.1,('Colistin' in row.abritamr_subclass),,Resistant,abritamr (PMID:36599823)
Aminoglycosides (RMT),Salmonella enterica,abritAMRsalmo000002,0.0.1,('Aminoglycosides (Ribosomal methyltransferase)' in row.abritamr_subclass),,Resistant,abritamr (PMID:36599823)
Chloramphenicol,Salmonella enterica,abritAMRsalmo000003,0.0.1,"(contains_any(row.abritamr_subclass,'phenicol'))",,Resistant,abritamr
Trimeth-Sulpha,Salmonella enterica,abritAMRsalmo000004,0.0.1,('Trimethoprim' in row.abritamr_subclass && 'Sulfathiazole' in row.abritamr_subclass),,Resistant,abritamr (PMID:36599823)
Trimethoprim,Salmonella enterica,abritAMRsalmo000005,0.0.1,('Trimethoprim' in row.abritamr_subclass ),,Resistant,abritamr (PMID:36599823)
Sulfathiazole,Salmonella enterica,abritAMRsalmo000006,0.0.1,('Sulfathiazole' in row.abritamr_subclass),,Resistant,abritamr (PMID:36599823)
Ciproflxacin,Salmonella enterica,abritAMRsalmo000007,0.0.1,"(contains_any(row.abritamr_subclass,'quinolone'))",,Resistant,abritamr (PMID:36599823)
Tetracycline,Salmonella enterica,abritAMRsalmo000008,0.0.1,('Tetracycline' in row.abritamr_subclass),,Resistant,abritamr (PMID:36599823)
Streptomycin,Salmonella enterica,abritAMRsalmo000009,0.0.1,('Streptomycin' in row.abritamr_subclass),,Resistant,abritamr (PMID:36599823)
Kanamycin,Salmonella enterica,abritAMRsalmo000010,0.0.1,('Kanamycin' in row.abritamr_subclass || 'Aminoglycosides (Ribosomal methyltransferase)' in row.abritamr_subclass),,Resistant,abritamr (PMID:36599823)
Gentamicin,Salmonella enterica,abritAMRsalmo000011,0.0.1,('Gentamicin' in row.abritamr_subclass || 'Aminoglycosides (Ribosomal methyltransferase)' in row.abritamr_subclass),,Resistant,abritamr (PMID:36599823)
Azithromycin,Salmonella enterica,abritAMRsalmo000012,0.0.1,('Macrolide' in row.abritamr_subclass || 'Lincosamide/Macrolide/Streptogramin' in row.abritamr_subclass || 'Azithromycin' in row.abritamr_subclass),,Resistant,abritamr (PMID:36599823)
Meropenem,Salmonella enterica,abritAMRsalmo000013,0.0.1,('Carbapenemase' in row.abritamr_subclass),,Resistant,abritamr (PMID:36599823)
Cefotaxime (AmpC),Salmonella enterica,abritAMRsalmo000014,0.0.1,('AmpC' in row.abritamr_subclass),,Resistant,abritamr (PMID:36599823)
Cefotaxime (ESBL),Salmonella enterica,abritAMRsalmo000015,0.0.1,('ESBL' in row.abritamr_subclass),,Resistant,abritamr (PMID:36599823)
Ampicillin,Salmonella enterica,abritAMRsalmo000016,0.0.1,('Beta-lactam' in row.abritamr_subclass || 'ESBL' in row.abritamr_subclass || 'AmpC' in row.abritamr_subclass || 'Ampicillin' in row.abritamr_subclass),,Resistant,abritamr (PMID:36599823)
