allele,gene_family,whitelisted_taxa,product_name,scope,type,subtype,class_new,subclass_new,refseq_protein_accession,refseq_nucleotide_accession,curated_refseq_start,genbank_protein_accession,genbank_nucleotide_accession,genbank_strand,genbank_start,genbank_stop,refseq_strand,refseq_start,refseq_stop,pubmed_reference,blacklisted_taxa,synonyms,hierarchy_node,db_version,mut_acc,key,enhanced_class,enhanced_subclass,Status,Previous_class,Previous_subclass,NS Changes,NS comments
,aac(2')-I(A267),,aminoglycoside N-acetyltransferase AAC(2')-I(A267),core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN/TOBRAMYCIN,WP_025297907.1,NG_242157.1,No,CDI94966.1,HG530068.1,-,7204881,7205417,+,101,637,,,,aac(2')-I(A267),2026-03-24.1,__NG_242157.1,WP_025297907.1,Aminoglycoside,Gentamicin/Tobramycin,existing,,,,
,aac(2')-IIa,,kasugamycin N-acetyltransferase AAC(2')-IIa,core,AMR,AMR,AMINOGLYCOSIDE,KASUGAMYCIN,WP_063839881.1,NG_047225.1,No,BAM16262.1,AB669090.1,+,12439,13221,+,101,883,22660700,,,aac(2')-IIa,2026-03-24.1,__NG_047225.1,WP_063839881.1,Aminoglycoside,Kasugamycin,existing,,,,
,aac(2')-IIb,,kasugamycin N-acetyltransferase AAC(2')-IIb,core,AMR,AMR,AMINOGLYCOSIDE,KASUGAMYCIN,WP_071224044.1,NG_055672.1,No,APB03221.1,KX531051.1,+,1,723,+,1,723,27929110,,,aac(2')-IIb,2026-03-24.1,__NG_055672.1,WP_071224044.1,Aminoglycoside,Kasugamycin,existing,,,,
,aac(2')-Ia,,aminoglycoside N-acetyltransferase AAC(2')-Ia,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN/PLAZOMICIN/TOBRAMYCIN,WP_004918308.1,NG_047226.1,No,AAA03550.1,L06156.2,+,264,800,+,101,637,"840,782,540,178,262",,,aac(2')-Ia,2026-03-24.1,__NG_047226.1,WP_004918308.1,Aminoglycoside,Gentamicin/Plazomicin/Tobramycin,existing,,,,
,aac(2')-Ib,,aminoglycoside N-acetyltransferase AAC(2')-Ib,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN/TOBRAMYCIN,WP_003881640.1,NG_047227.1,No,AAC44793.1,U41471.1,+,265,852,+,101,688,8891143,,,aac(2')-Ib,2026-03-24.1,__NG_047227.1,WP_003881640.1,Aminoglycoside,Gentamicin/Tobramycin,existing,,,,
,aac(2')-Ic,,aminoglycoside N-acetyltransferase AAC(2')-Ic,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN/TOBRAMYCIN,WP_003899880.1,NG_047229.1,No,AAB17563.1,U72714.1,+,373,918,+,101,646,9159528,,,aac(2')-Ic,2026-03-24.1,__NG_047229.1,WP_003899880.1,Aminoglycoside,Gentamicin/Tobramycin,existing,,,,
,aac(2')-Id,,aminoglycoside N-acetyltransferase AAC(2')-Id,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN/TOBRAMYCIN,WP_011726942.1,NG_047230.1,No,AAB41701.1,U72743.1,+,386,1018,+,101,733,9159528,,,aac(2')-Id,2026-03-24.1,__NG_047230.1,WP_011726942.1,Aminoglycoside,Gentamicin/Tobramycin,existing,,,,
,aac(2')-Ie,,aminoglycoside N-acetyltransferase AAC(2')-Ie,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN/TOBRAMYCIN,WP_010908954.1,NG_050581.1,No,CAR72650.1,FM211192.1,+,3039059,3039607,+,101,649,9159528,,,aac(2')-Ie,2026-03-24.1,__NG_050581.1,WP_010908954.1,Aminoglycoside,Gentamicin/Tobramycin,existing,,,,
,aac(3)-C1264,,aminoglycoside N-acetyltransferase AAC(3)-C1264,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN/KANAMYCIN/TOBRAMYCIN,WP_034000523.1,NG_242158.1,No,EPL0130829.1,ABKGBU040000026.1,+,64132,64920,+,101,889,37537271,,,aac(3)-C1264,2026-03-24.1,__NG_242158.1,WP_034000523.1,Aminoglycoside,Gentamicin/Kanamycin/Tobramycin,existing,,,,
,aac(3)-C322,,aminoglycoside N-acetyltransferase AAC(3)-C322,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN/KANAMYCIN/TOBRAMYCIN,WP_044061792.1,NG_242159.1,No,ECI2662265.1,AAIUPV010000079.1,+,1716,2510,+,101,895,37537271,,,aac(3)-C322,2026-03-24.1,__NG_242159.1,WP_044061792.1,Aminoglycoside,Gentamicin/Kanamycin/Tobramycin,existing,,,,
