allele,gene_family,whitelisted_taxa,product_name,scope,type,subtype,class,subclass,refseq_protein_accession,refseq_nucleotide_accession,curated_refseq_start,genbank_protein_accession,genbank_nucleotide_accession,genbank_strand_orientation,genbank_cds_start,genbank_cds_stop,pubmed_reference,blacklisted_taxa,db_version,enhanced_subclass,to_check
,aac(2')-IIa,,kasugamycin N-acetyltransferase AAC(2')-IIa,core,AMR,AMR,AMINOGLYCOSIDE,KASUGAMYCIN,WP_063839881.1,NG_047225.1,No,BAM16262.1,AB669090.1,+,12439,13221,,,2020-01-22.1,Aminoglycosides,no
,aac(2')-IIb,,kasugamycin N-acetyltransferase AAC(2')-IIb,core,AMR,AMR,AMINOGLYCOSIDE,KASUGAMYCIN,WP_071224044.1,NG_055672.1,No,APB03221.1,KX531051.1,+,1,723,,,2020-01-22.1,Aminoglycosides,no
,aac(2')-Ia,,aminoglycoside N-acetyltransferase AAC(2')-Ia,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN/TOBRAMCYIN,WP_004918308.1,NG_047226.1,No,AAA03550.1,L06156.2,+,264,800,,,2020-01-22.1,Gentamicin/Tobramcyin,no
,aac(2')-Ib,,aminoglycoside N-acetyltransferase AAC(2')-Ib,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN/TOBRAMCYIN,WP_003881640.1,NG_047227.1,No,AAC44793.1,U41471.1,+,265,852,,,2020-01-22.1,Gentamicin/Tobramcyin,no
,aac(2')-Ic,,aminoglycoside N-acetyltransferase AAC(2')-Ic,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN/TOBRAMCYIN,WP_003899880.1,NG_047229.1,No,AAB17563.1,U72714.1,+,373,918,,,2020-01-22.1,Gentamicin/Tobramcyin,no
,aac(2')-Id,,aminoglycoside N-acetyltransferase AAC(2')-Id,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN/TOBRAMCYIN,WP_011726942.1,NG_047230.1,No,AAB41701.1,U72743.1,+,386,1018,,,2020-01-22.1,Gentamicin/Tobramcyin,no
,aac(2')-Ie,,aminoglycoside N-acetyltransferase AAC(2')-Ie,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN/TOBRAMCYIN,WP_010908954.1,NG_050581.1,No,CAR72650.1,FM211192.1,+,3039059,3039607,,,2020-01-22.1,Gentamicin/Tobramcyin,no
,aac(3)-I,,AAC(3)-I family aminoglycoside 3-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_002089484.1,NG_047234.1,No,AAF68257.1,AF207065.1,+,900,1364,,,2020-01-22.1,Gentamicin,no
,aac(3)-I,,AAC(3)-I family aminoglycoside 3-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_063840256.1,NG_047235.1,No,AAK12088.1,AF318077.1,+,2035,2499,,,2020-01-22.1,Gentamicin,no
,aac(3)-I,,AAC(3)-I family aminoglycoside 3-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_032491356.1,NG_047233.1,No,CAA08847.1,AJ009820.2,+,930,1394,,,2020-01-22.1,Gentamicin,no
