drugname,species,rule_id,rule_version,rule,original_rule,inferred,source
Carbapenem,Acinetobacter baumannii,AMRrules-ACI0002,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'WP_001046004.1'))",blaOXA-23,Resistant (nonwildtype),AMRrules (PMID: 10602749)
Carbapenem,Acinetobacter baumannii,AMRrules-ACI0003,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'WP_063862443.1'))",blaOXA-27,Resistant (nonwildtype),AMRrules (PMID: 11158758)
Carbapenem,Acinetobacter baumannii,AMRrules-ACI0004,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'WP_063864111.1'))",blaOXA-49,Resistant (nonwildtype),AMRrules (PMID: 22842601)
Carbapenem,Acinetobacter baumannii,AMRrules-ACI0005,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'WP_063861044.1'))",blaOXA-146,Resistant (nonwildtype),AMRrules (PMID: 23877677)
Carbapenem,Acinetobacter baumannii,AMRrules-ACI0006,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'WP_063861123.1'))",blaOXA-165,Resistant (nonwildtype),AMRrules
Carbapenem,Acinetobacter baumannii,AMRrules-ACI0007,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'WP_063861129.1'))",blaOXA-166,Resistant (nonwildtype),AMRrules
Carbapenem,Acinetobacter baumannii,AMRrules-ACI0008,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'WP_063861133.1'))",blaOXA-167,Resistant (nonwildtype),AMRrules
Carbapenem,Acinetobacter baumannii,AMRrules-ACI0009,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'WP_063861136.1'))",blaOXA-168,Resistant (nonwildtype),AMRrules
Carbapenem,Acinetobacter baumannii,AMRrules-ACI0010,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'WP_063861140.1'))",blaOXA-169,Resistant (nonwildtype),AMRrules
Carbapenem,Acinetobacter baumannii,AMRrules-ACI0011,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'WP_063861151.1'))",blaOXA-170,Resistant (nonwildtype),AMRrules
Carbapenem,Acinetobacter baumannii,AMRrules-ACI0012,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'WP_063861157.1'))",blaOXA-171,Resistant (nonwildtype),AMRrules
Carbapenem,Acinetobacter baumannii,AMRrules-ACI0013,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'WP_063861820.1'))",blaOXA-225,Resistant (nonwildtype),AMRrules
Carbapenem,Acinetobacter baumannii,AMRrules-ACI0014,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'WP_063862190.1'))",blaOXA-239,Resistant (nonwildtype),AMRrules
